number,category,prompt,example
1,PDF to Visual Learning,"Transform this PDF into a professor-style whiteboard image, include diagrams, arrows, boxes, and short captions that explain the core ideas visually. Use color highlights to make concepts easy to follow.","Input: Machine Learning PDF → Output: Whiteboard with decision tree diagrams, arrows showing data flow, color-coded boxes for supervised vs unsupervised learning"
2,PDF to Visual Learning,"Convert this PDF into an infographic-style visual summary with icons, flow charts, and key statistics highlighted in vibrant colors. Make it shareable on social media.","Input: Climate Change Report → Output: Instagram-ready infographic with temperature graphs, emission icons, timeline of events"
3,PDF to Visual Learning,"Turn this academic paper PDF into a mind map with central concept in the middle, branches for subtopics, and color-coded connections showing relationships.","Input: Psychology Research Paper → Output: Mind map with 'Cognitive Bias' at center, branches to 'Confirmation Bias', 'Anchoring', etc."
4,PDF to Visual Learning,"Create a step-by-step visual guide from this PDF with numbered circles, directional arrows, and screenshot-style boxes for each major step.","Input: Software Installation Guide → Output: Numbered workflow with screenshots in boxes, arrows connecting steps"
5,PDF to Visual Learning,"Transform this PDF into a comparison table with side-by-side columns, checkmarks and X marks, and color gradients for better/worse options.","Input: Product Comparison PDF → Output: Table with Feature A vs Feature B, green checkmarks for pros, red X for cons"
6,PDF to Visual Learning,"Convert this document into a timeline visualization with dates on horizontal axis, milestone markers, and callout boxes for key events.","Input: History PDF → Output: Timeline from 1900-2000 with war markers, invention bubbles, political event annotations"
7,PDF to Visual Learning,Turn this PDF into a Venn diagram showing overlapping concepts with labeled circles and color-coded intersection zones.,"Input: Business Strategy PDF → Output: 3-circle Venn showing Marketing, Sales, Customer Success overlap"
8,PDF to Visual Learning,"Create a flowchart from this PDF with decision diamonds, process rectangles, and yes/no paths clearly marked with arrows.","Input: Troubleshooting Guide → Output: Diamond-shaped decisions, rectangular actions, color-coded success/failure paths"
9,PDF to Visual Learning,Transform this PDF into a pyramid/hierarchy diagram with levels labeled and examples at each tier.,"Input: Maslow's Hierarchy PDF → Output: Pyramid with 5 levels, icons at each level, examples in text bubbles"
10,PDF to Visual Learning,"Convert this document into a concept map with interconnected nodes, relationship labels on connecting lines, and cluster groupings.","Input: Ecosystem PDF → Output: Network of connected bubbles for plants, animals, decomposers with arrows labeled 'eats', 'decomposes'"
11,Text to Diagrams,"Turn this text explanation into a detailed flowchart with swim lanes for different actors, decision points, and loop-back arrows where needed.","Input: Order Processing Text → Output: Swimlanes for Customer, System, Warehouse with process boxes in each lane"
12,Text to Diagrams,"Convert this text into a system architecture diagram with servers, databases, APIs shown as connected boxes with labeled data flows.","Input: Web App Architecture Text → Output: Frontend box → API Gateway → Backend Services → Database, with HTTP/REST labels"
13,Text to Diagrams,"Transform this explanation into a cause-and-effect fishbone diagram with main problem on right, category branches on left.","Input: Quality Issues Text → Output: Fishbone with 'Defects' on right, branches for Materials, Methods, Machines, People"
14,Text to Diagrams,"Create a quadrant matrix from this text with four labeled sections, items plotted based on two axes, and color coding by priority.","Input: Project Prioritization Text → Output: 2x2 matrix: Urgent/Important axes, tasks plotted as colored dots"
15,Text to Diagrams,"Turn this process description into a BPMN-style diagram with start/end events, tasks, gateways, and message flows.","Input: Approval Process Text → Output: Rounded start → Task boxes → Diamond gateways → Rounded end, with message dotted lines"
16,Text to Diagrams,Convert this text into a layered architecture diagram showing technology stack from bottom (infrastructure) to top (user interface).,Input: Software Stack Text → Output: Stacked rectangles: Hardware → OS → Database → Backend → Frontend → UI
17,Text to Diagrams,"Transform this explanation into a data flow diagram with circles for processes, rectangles for entities, arrows for data movement.","Input: Order System Text → Output: Circles for 'Process Order', 'Update Inventory', rectangles for 'Customer', 'Database'"
18,Text to Diagrams,"Create a network topology diagram from this text with nodes, routers, connections, and IP ranges labeled.","Input: Network Setup Text → Output: Cloud shape for internet, router icons, computer nodes, switch icons, labeled subnets"
19,Text to Diagrams,"Turn this text into an entity-relationship diagram with entities as boxes, relationships as diamonds, cardinality noted.","Input: Database Schema Text → Output: 'Customer' box → 'Places' diamond → 'Order' box, with 1:N cardinality"
20,Text to Diagrams,Convert this process into a Kanban board visualization with columns for stages and cards for items in each stage.,"Input: Development Process Text → Output: Columns: Backlog, In Progress, Testing, Done with task cards in each"
21,Code to Visual,"Transform this code into a visual execution flow diagram showing function calls, loops, and conditional branches with color-coded blocks.","Input: Python sorting algorithm → Output: Flowchart with iteration loops in blue, comparisons in yellow, swaps in red"
22,Code to Visual,"Convert this API code into a sequence diagram showing requests, responses, and interactions between components over time.","Input: REST API calls → Output: Vertical lifelines for Client, API, Database with horizontal arrows for requests/responses"
23,Code to Visual,"Turn this class structure into a UML class diagram with boxes for classes, lines for inheritance, and method/property lists.","Input: OOP Python code → Output: Class boxes with attributes, methods, inheritance arrows, association lines"
24,Code to Visual,"Create a state machine diagram from this code showing states as circles, transitions as arrows, and trigger conditions as labels.","Input: State management code → Output: Circles for 'Idle', 'Running', 'Paused' with labeled transition arrows"
25,Code to Visual,Transform this algorithm into a step-by-step visual walkthrough with input/output examples and intermediate calculation boxes.,"Input: Dijkstra's algorithm code → Output: Grid showing step-by-step node visits, distance updates, final shortest path"
26,Code to Visual,"Convert this recursive function into a tree diagram showing call stack, return values, and base case highlighting.","Input: Fibonacci recursion → Output: Tree with fib(5) at root, branches to fib(4) and fib(3), base cases in green"
27,Code to Visual,"Turn this data structure code into a visual representation with boxes for nodes, arrows for pointers, and values clearly labeled.","Input: Linked list code → Output: Chain of boxes with values, arrows pointing to next node, NULL at end"
28,Code to Visual,"Create a component diagram from this frontend code showing UI components, their hierarchy, and data flow between them.","Input: React component code → Output: Nested boxes for App → Header, Body, Footer components, props arrows"
29,Code to Visual,"Transform this database query into a visual query execution plan with table scans, joins, and filters as connected operation boxes.","Input: SQL JOIN query → Output: Tree showing table scans at bottom, join operations middle, final output top"
30,Code to Visual,"Convert this microservices code into a service mesh diagram showing services, load balancers, message queues, and API gateways.","Input: Docker-compose file → Output: Service boxes connected through load balancer, message queue between services"
31,Data to Visualizations,"Transform this dataset into an interactive-looking dashboard mockup with charts, KPI cards, filters, and trend indicators.","Input: Sales CSV data → Output: Dashboard with bar chart for monthly sales, pie chart for categories, KPI cards for totals"
32,Data to Visualizations,"Convert these statistics into an infographic with bold numbers, percentage comparisons, and icon representations.","Input: Survey results → Output: Giant '87%' with 'agree' caption, comparison bars, stick figure icons for demographics"
33,Data to Visualizations,"Turn this time-series data into a line graph with multiple colored lines, annotations for significant events, and trend arrows.","Input: Stock price data → Output: Multi-color line chart with 'Market Crash' annotation, upward trend arrow"
34,Data to Visualizations,"Create a heatmap from this data with color gradient from cool to warm, axis labels, and value annotations in cells.","Input: Correlation matrix → Output: Grid with red (high correlation) to blue (low), numbers in each cell"
35,Data to Visualizations,"Transform this geographical data into a map visualization with location markers, size indicating magnitude, and color coding by category.","Input: Store locations CSV → Output: Map with circle markers sized by revenue, colored by region"
36,Data to Visualizations,Convert this hierarchical data into a treemap with nested rectangles sized by value and colored by category.,"Input: Budget allocation data → Output: Nested rectangles: biggest for largest budget items, color by department"
37,Data to Visualizations,Turn this comparison data into a radar/spider chart with multiple dimensions and overlapping colored shapes.,"Input: Product feature comparison → Output: Pentagon radar chart with 5 features, overlapping shapes for 2 products"
38,Data to Visualizations,"Create a funnel visualization from this conversion data with labeled stages, drop-off percentages, and narrowing width.","Input: Sales funnel data → Output: Inverted triangle sections: Visitors → Leads → Trials → Customers, % at each stage"
39,Data to Visualizations,Transform this categorical data into a horizontal bar chart with values labeled at end of bars and color gradient.,"Input: Top 10 products → Output: Horizontal bars sorted by revenue, gradient from blue to purple, values at bar ends"
40,Data to Visualizations,"Convert this distribution data into a histogram with bins, frequency counts, and normal curve overlay if applicable.","Input: Test scores → Output: Bars showing frequency per score range, bell curve overlay, mean/median lines"
41,Concepts to Comics/Stories,"Turn this complex concept into a 4-panel comic strip with stick figures, speech bubbles, and a simple narrative arc.","Input: 'How blockchain works' → Output: Panel 1: Person sends money, Panel 2: Network verifies, Panel 3: Block added, Panel 4: Transaction complete"
42,Concepts to Comics/Stories,Transform this technical process into a visual story with characters representing different components and dialogue explaining their roles.,"Input: HTTP request/response → Output: Client character knocks on Server's door, Server retrieves item, hands it back"
43,Concepts to Comics/Stories,Convert this abstract idea into a metaphor-based illustration with real-world objects representing technical concepts.,"Input: API explanation → Output: Restaurant metaphor: Menu = API docs, Waiter = API, Kitchen = Backend"
44,Concepts to Comics/Stories,"Create a before/after comparison comic showing problem scenario in first panel, solution in second with visual improvements.","Input: Load balancing concept → Output: Before: Single server overwhelmed, After: Multiple servers sharing load happily"
45,Concepts to Comics/Stories,"Turn this learning journey into a roadmap illustration with character starting at bottom left, progressing through milestones to goal at top right.","Input: Career progression → Output: Path from 'Junior Dev' through 'Mid-level', 'Senior', to 'Architect' with skill checkpoints"
46,Concepts to Comics/Stories,Transform this comparison into a 'vs' battle illustration with two sides showing strengths/weaknesses in visual competition format.,"Input: SQL vs NoSQL → Output: Left side: SQL with relational structure powers, Right: NoSQL with flexibility powers"
47,Concepts to Comics/Stories,Convert this cause-effect relationship into a domino-effect illustration showing chain reaction from trigger to outcome.,Input: Technical debt accumulation → Output: Falling dominoes labeled: 'Skip tests' → 'Bugs' → 'Patches' → 'More bugs'
48,Concepts to Comics/Stories,"Create a maze/puzzle illustration where solving it represents understanding the concept, with dead-ends showing common mistakes.","Input: Debugging process → Output: Maze with 'Bug Found' at center, dead ends labeled common wrong assumptions"
49,Concepts to Comics/Stories,Turn this technical architecture into a city/building metaphor with structures representing different system components.,"Input: Microservices architecture → Output: City with buildings = services, roads = APIs, utilities = shared services"
50,Concepts to Comics/Stories,"Transform this process into a recipe card format with ingredients list, step-by-step cooking instructions, and finished dish image.","Input: Machine learning pipeline → Output: Recipe with 'Ingredients: Raw data, Model', Steps: 'Mix, Train, Bake at 100 epochs'"
51,Notes to Study Materials,"Convert these lecture notes into a flashcard-style layout with question on front (shown as card), answer on back with visual cues.","Input: Biology notes → Output: Card showing 'What is photosynthesis?' front, flip reveals diagram with sun, leaf, equations"
52,Notes to Study Materials,"Transform these notes into a Cornell notes format with cue column, notes column, and summary section with doodles and highlights.","Input: History notes → Output: Left: Key terms, Middle: Detailed notes with underlines, Bottom: Summary box"
53,Notes to Study Materials,"Turn these study notes into a sketchnote style with hand-drawn fonts, icons, arrows, speech bubbles, and visual separators.","Input: Physics concepts → Output: Hand-drawn F=ma with stick figure pushing box, arrows, thought bubbles with examples"
54,Notes to Study Materials,Create a comparison chart from these notes with columns for different theories/approaches and rows for evaluation criteria.,"Input: Psychology theories → Output: Table comparing Freud, Jung, Rogers across 'View of Human Nature', 'Key Concepts'"
55,Notes to Study Materials,"Transform these notes into a visual syllabus with icons for each topic, progress checkboxes, and estimated time bubbles.","Input: Course notes → Output: Week 1-12 grid with topic icons, empty checkboxes, '2 hrs' time estimates"
56,Notes to Study Materials,Convert lecture content into a concept relationship map with key terms in bubbles connected by labeled relationship arrows.,Input: Economics notes → Output: 'Supply' and 'Demand' bubbles connected by 'determines' arrow to 'Price' bubble
57,Notes to Study Materials,"Turn these notes into a visual cheat sheet with formulae, examples, common pitfalls, and quick reference tables in organized sections.","Input: Math formulas → Output: Sections with boxed formulas, solved examples, 'Watch out!' warning boxes"
